measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,High-income,Male,All ages,Diabetes mellitus type 2,Rate,1990,14.871742320839376,15.228879303144007,14.225197519130285
Deaths,High-income,Female,All ages,Diabetes mellitus type 2,Rate,1990,20.671391896444874,21.71087035813614,18.67094077544675
Deaths,High-income,Both,All ages,Diabetes mellitus type 2,Rate,1990,17.833188425347863,18.513484079156434,16.504085066531445
Deaths,High-income,Male,Age-standardized,Diabetes mellitus type 2,Rate,1990,13.883561127366278,14.259748492645587,13.1756382163436
Deaths,High-income,Female,Age-standardized,Diabetes mellitus type 2,Rate,1990,12.693932760121918,13.302996991342146,11.52868639490229
Deaths,High-income,Both,Age-standardized,Diabetes mellitus type 2,Rate,1990,13.274830544584212,13.791946779983554,12.258349399450232
Deaths,Sub-Saharan Africa,Male,All ages,Diabetes mellitus type 2,Number,1990,40583.474632214326,46833.233368050154,35883.274561562444
Deaths,Sub-Saharan Africa,Female,All ages,Diabetes mellitus type 2,Number,1990,33983.20013249922,37818.936250363106,30304.754691550435
Deaths,Sub-Saharan Africa,Both,All ages,Diabetes mellitus type 2,Number,1990,74566.67476471355,82555.74122072016,68146.17010818675
Deaths,Sub-Saharan Africa,Male,All ages,Diabetes mellitus type 2,Rate,1990,16.680655574240976,19.249436927718993,14.748775191422952
Deaths,Sub-Saharan Africa,Female,All ages,Diabetes mellitus type 2,Rate,1990,13.69915518862766,15.245399925331833,12.21631676399483
Deaths,Sub-Saharan Africa,Both,All ages,Diabetes mellitus type 2,Rate,1990,15.175430005742234,16.801324136020963,13.86876158685261
Deaths,Sub-Saharan Africa,Male,Age-standardized,Diabetes mellitus type 2,Rate,1990,45.36418619954825,52.254877943595034,40.12607611647333
Deaths,Sub-Saharan Africa,Female,Age-standardized,Diabetes mellitus type 2,Rate,1990,35.76096867927652,39.74605480959973,31.72102036609814
Deaths,Sub-Saharan Africa,Both,Age-standardized,Diabetes mellitus type 2,Rate,1990,40.268364977699065,44.458411770608464,36.61555494814844
Deaths,Middle SDI,Male,All ages,Ischemic heart disease,Number,1991,600028.2157904166,634916.359293683,558312.4804280025
Deaths,Middle SDI,Female,All ages,Ischemic heart disease,Number,1991,469187.1496534853,508052.7630415002,433646.7439109903
Deaths,Middle SDI,Both,All ages,Ischemic heart disease,Number,1991,1069215.3654439007,1125461.9549789925,1014355.4940874927
Deaths,Middle SDI,Male,All ages,Ischemic heart disease,Rate,1991,67.23120266443374,71.14030524449186,62.55709070662886
Deaths,Middle SDI,Female,All ages,Ischemic heart disease,Rate,1991,54.55803593334945,59.07740849792422,50.42532527616949
Deaths,Middle SDI,Both,All ages,Ischemic heart disease,Rate,1991,61.01215736186884,64.22173130056609,57.88171310131568
Deaths,Middle SDI,Male,Age-standardized,Ischemic heart disease,Rate,1991,146.95184491168985,155.49509526508032,135.65503700515362
Deaths,Middle SDI,Female,Age-standardized,Ischemic heart disease,Rate,1991,107.81437207974226,117.06992313627637,99.29019697509902
Deaths,Middle SDI,Both,Age-standardized,Ischemic heart disease,Rate,1991,126.2847851960275,133.81082817593833,118.38553641109557
Deaths,High-middle SDI,Male,All ages,Ischemic heart disease,Number,1990,771220.4571813374,798682.957372181,740416.8503636824
Deaths,High-middle SDI,Female,All ages,Ischemic heart disease,Number,1990,833641.7120944598,870047.8996573673,775908.1191104789
Deaths,High-middle SDI,Both,All ages,Ischemic heart disease,Number,1990,1604862.1692757963,1657939.7578939293,1527808.2634531015
Deaths,High-middle SDI,Male,All ages,Ischemic heart disease,Rate,1990,145.71861070861866,150.9075256772654,139.89840878258505
Deaths,High-middle SDI,Female,All ages,Ischemic heart disease,Rate,1990,156.03117527153145,162.8452539700702,145.22528560064836
Deaths,High-middle SDI,Both,All ages,Ischemic heart disease,Rate,1990,150.8992589449552,155.88994845237613,143.65416493622428
Deaths,High-middle SDI,Male,Age-standardized,Ischemic heart disease,Rate,1990,228.07817248284658,235.7939266202359,217.2615507021212
Deaths,High-middle SDI,Female,Age-standardized,Ischemic heart disease,Rate,1990,166.79062564196366,174.6289825278184,153.24671893436303
Deaths,High-middle SDI,Both,Age-standardized,Ischemic heart disease,Rate,1990,193.9362468764656,200.6005598825758,182.105705390128
Deaths,Low SDI,Male,All ages,Diabetes mellitus type 2,Number,1991,38760.57029384417,44420.0754431116,33826.17251735639
Deaths,Low SDI,Female,All ages,Diabetes mellitus type 2,Number,1991,30915.857279197528,35413.232852092224,27286.221215057787
Deaths,Low SDI,Both,All ages,Diabetes mellitus type 2,Number,1991,69676.42757304164,78130.09505851346,63064.93324052035
Deaths,Low SDI,Male,All ages,Diabetes mellitus type 2,Rate,1991,14.997637545253955,17.18747134467285,13.088369730182011
Deaths,Low SDI,Female,All ages,Diabetes mellitus type 2,Rate,1991,12.129980306401754,13.894546517102064,10.705875725383217
